Age,Experience,WorkingHours,ProjectsCompleted,Attendance,TrainingHours,PreviousPerformance,OvertimeHours,JobSatisfaction,Participation,PerformanceScore
24,13.7,8.0,2,73.1,24.0,66.1,19.3,6,5,72.45
43,5.7,7.3,4,76.2,33.0,64.3,6.4,5,4,69.99
37,7.1,7.0,10,91.5,45.8,84.6,14.2,8,2,95.02
38,2.4,10.3,13,77.3,33.2,67.8,4.6,2,5,82.13
48,4.0,6.3,11,94.3,44.9,45.0,14.8,1,8,75.29
32,7.1,8.8,2,88.5,41.3,88.3,24.6,8,10,83.21
25,3.7,9.9,11,99.9,12.6,86.0,2.7,7,9,100.0
36,7.2,10.2,18,85.5,28.0,55.4,18.0,10,4,99.69
37,0.2,9.4,2,96.8,1.0,64.8,22.0,5,5,49.04
39,13.0,9.7,8,67.8,42.0,61.9,25.7,6,1,76.48
37,13.2,6.5,13,71.4,8.4,83.3,9.2,9,9,100.0
24,13.8,11.7,17,100.0,27.7,62.7,25.4,4,10,100.0
26,9.1,9.5,17,76.7,9.5,90.9,1.2,3,2,100.0
33,14.9,7.1,12,80.7,30.1,96.4,9.9,9,4,100.0
52,9.1,9.4,9,83.8,43.9,43.6,22.0,4,7,75.85
21,19.4,9.9,7,67.6,10.5,74.5,0.0,1,2,88.69
23,6.0,6.4,11,85.8,40.4,49.0,24.2,2,5,70.29
46,19.5,11.1,3,77.7,13.3,91.4,14.2,6,8,96.94
39,7.9,9.8,7,92.3,14.6,92.0,25.9,3,7,79.38
22,4.5,11.6,2,87.0,6.0,57.8,8.8,10,7,68.58
31,10.7,7.7,12,89.9,9.2,82.8,20.4,4,9,95.45
38,4.5,11.2,5,68.2,18.6,60.5,20.2,3,1,50.88
50,15.4,11.8,14,89.4,22.8,68.2,23.9,7,10,100.0
45,17.9,11.6,11,64.7,24.6,84.0,22.3,2,7,96.36
49,8.2,6.4,6,90.8,36.3,85.7,26.9,10,7,89.66
42,18.1,11.8,13,95.0,15.6,43.1,25.8,6,10,98.45
39,17.9,10.9,19,66.3,12.0,60.9,29.4,2,3,93.72
23,6.1,6.5,5,70.4,39.8,77.5,28.5,1,2,57.97
34,17.0,7.8,20,94.7,35.1,46.3,17.6,5,1,100.0
25,10.1,10.8,5,95.3,0.2,74.7,19.4,2,10,75.69
25,2.4,9.8,16,75.0,33.7,82.3,15.2,1,8,89.64
31,4.5,11.9,19,80.7,11.6,52.5,26.2,8,1,81.69
53,11.7,6.2,14,66.6,31.2,88.2,8.3,8,10,100.0
21,17.6,10.1,2,81.7,38.9,58.1,29.3,6,7,77.61
51,19.8,8.0,14,94.4,40.0,48.3,18.4,2,3,98.89
35,8.0,10.9,14,89.0,11.7,68.3,17.2,5,4,87.75
24,1.5,6.6,3,65.5,4.1,55.8,19.2,3,7,45.0
23,3.9,11.4,16,91.1,37.9,64.7,14.1,3,1,84.95
27,13.2,10.8,11,61.1,21.2,54.1,7.7,1,5,80.84
38,19.5,9.5,0,97.5,41.7,74.9,22.1,9,6,92.96
27,3.7,8.9,10,63.6,26.5,89.4,11.7,2,1,73.21
24,0.8,9.9,15,65.3,10.1,71.9,17.0,1,3,68.04
33,16.2,6.7,3,65.3,31.6,81.5,11.3,9,1,87.25
21,9.5,10.7,14,82.3,14.4,96.8,5.4,2,4,100.0
38,10.3,10.6,0,69.2,37.5,58.2,26.6,8,8,65.46
34,18.0,11.8,3,81.0,47.4,90.1,29.8,1,1,78.02
32,1.5,9.2,15,83.5,22.3,75.7,15.4,3,4,81.5
22,0.6,11.2,17,75.5,19.3,75.6,4.8,4,6,91.12
24,12.0,7.9,11,90.8,25.3,40.9,6.5,9,10,99.78
42,5.5,8.0,6,70.2,0.7,52.7,10.6,9,2,63.48
44,19.9,6.9,17,97.1,6.5,78.3,19.8,8,4,100.0
41,16.1,10.2,15,62.7,20.1,85.2,25.2,5,1,96.63
53,2.6,8.6,7,64.6,18.0,73.9,2.0,5,1,67.98
36,13.8,11.8,7,75.6,7.0,65.4,21.1,7,2,76.46
47,8.1,9.5,4,89.7,49.1,86.4,16.8,8,3,85.35
53,18.5,6.7,20,64.4,38.1,56.1,27.9,2,7,100.0
42,17.9,11.1,5,80.4,24.4,74.6,25.2,6,8,89.92
35,16.6,9.8,0,80.4,3.6,76.7,28.5,9,6,75.0
23,9.8,9.1,20,74.2,45.8,84.8,21.9,10,3,100.0
48,18.3,6.7,17,96.2,5.2,68.0,26.2,6,2,100.0
51,17.8,8.6,4,70.2,29.4,91.1,7.7,4,7,97.06
49,14.6,8.1,19,90.9,49.3,93.2,0.6,7,2,100.0
29,11.3,6.5,17,69.0,13.1,47.9,10.0,7,4,94.44
42,2.3,11.9,2,99.5,12.5,84.7,25.0,8,9,69.8
32,14.8,11.3,4,90.1,2.2,71.8,28.5,4,3,69.14
48,19.1,10.2,17,68.3,35.8,95.9,23.9,6,9,100.0
40,11.6,9.9,9,92.6,6.5,82.3,19.6,6,3,86.82
44,20.0,8.6,14,72.1,47.4,76.5,19.5,2,5,100.0
45,9.5,8.1,4,62.5,17.2,66.5,9.6,7,10,79.17
23,8.7,6.6,3,79.5,16.7,65.8,2.1,3,2,67.17
55,12.8,9.2,9,63.6,36.9,72.2,21.4,9,10,97.37
50,4.4,7.1,13,82.1,13.5,63.2,3.5,3,3,80.19
34,13.3,11.6,20,78.1,14.9,61.6,0.5,8,8,100.0
50,9.6,10.9,8,71.3,1.5,89.2,21.9,9,4,83.53
23,4.8,7.2,4,60.8,24.9,81.9,2.3,9,6,80.55
44,6.8,11.5,20,61.0,21.7,74.3,3.7,9,4,100.0
44,14.4,10.6,3,87.8,1.6,61.1,15.4,1,8,70.26
40,17.7,10.9,6,77.3,41.3,89.9,24.2,8,3,97.23
40,13.7,8.1,8,87.9,9.1,93.3,9.1,9,6,100.0
32,9.2,10.4,16,70.1,46.9,62.3,28.7,10,6,98.85
52,15.6,7.8,9,98.2,35.6,99.9,8.4,5,10,100.0
54,10.7,10.8,13,86.9,49.4,70.0,21.2,7,10,100.0
41,1.6,7.5,15,74.6,39.2,96.8,23.7,5,9,95.49
21,19.7,9.4,18,76.5,13.6,42.3,0.0,3,1,100.0
36,12.0,10.3,3,84.2,14.2,55.1,5.8,10,8,84.66
55,16.4,7.2,20,86.2,47.9,41.1,28.5,4,5,100.0
47,16.6,7.9,4,93.6,0.6,42.5,16.2,5,1,67.22
37,15.2,10.5,18,65.7,27.8,97.4,17.6,7,1,100.0
34,3.6,9.4,5,81.2,9.1,49.7,19.4,9,3,58.25
48,14.4,7.2,12,98.8,9.6,44.7,7.6,5,8,96.22
41,2.0,11.1,14,77.2,14.3,97.7,22.2,5,1,81.1
31,10.3,11.0,0,94.6,4.9,90.9,14.7,3,4,69.11
29,11.6,7.9,8,85.4,22.7,57.3,1.1,5,6,89.23
40,8.0,9.5,13,80.5,42.5,61.1,27.9,1,2,73.94
27,19.5,9.5,1,81.8,16.5,76.2,7.5,3,4,83.13
55,12.2,7.7,3,76.8,11.1,59.2,7.7,10,10,85.75
21,13.8,10.3,7,61.2,40.1,74.3,14.1,1,1,76.62
54,0.8,11.1,0,65.4,39.2,71.8,5.0,9,2,60.65
31,3.0,9.3,9,66.3,2.7,70.0,25.3,9,9,72.45
48,16.3,8.3,3,93.1,9.2,96.8,29.1,10,9,96.04
28,8.7,10.5,20,84.1,11.9,85.2,1.1,7,7,100.0
54,18.1,7.5,11,72.4,46.7,51.6,8.3,1,2,90.78
47,7.5,9.7,9,76.0,35.6,53.7,1.1,5,2,79.72
32,8.4,9.2,10,74.5,9.7,88.2,4.1,9,3,95.36
30,10.4,7.9,2,73.6,14.7,63.3,11.5,3,5,64.16
50,15.6,7.4,0,96.6,47.4,68.3,4.9,8,9,96.45
23,10.1,9.0,19,98.3,10.6,54.7,16.8,2,1,89.88
38,16.5,7.5,13,74.1,12.5,53.0,4.1,2,6,94.77
36,19.3,6.6,2,61.5,34.6,49.6,17.2,2,2,66.33
36,6.6,8.0,3,74.1,40.6,96.5,21.3,5,10,81.47
36,18.2,6.0,4,65.9,27.3,47.8,13.9,3,2,70.62
38,10.7,7.1,8,70.1,23.1,89.9,5.3,4,9,96.3
45,4.6,11.4,15,98.5,19.5,80.5,27.5,8,2,89.33
34,13.9,10.5,11,75.1,10.2,72.8,11.1,6,1,90.04
24,1.3,9.8,16,91.8,49.9,64.5,10.1,4,5,91.82
50,18.0,11.4,19,75.3,30.0,94.4,0.3,10,5,100.0
25,17.4,11.2,2,82.6,12.9,60.1,16.8,4,9,78.63
36,2.1,8.8,14,93.7,24.4,83.0,4.7,5,2,91.37
46,3.8,8.0,2,63.8,8.4,55.5,25.6,3,7,43.66
35,1.5,7.6,9,82.2,28.2,84.8,8.3,1,7,77.76
47,1.0,9.2,16,93.0,49.9,78.5,0.6,4,3,98.85
34,9.2,8.3,19,68.6,6.1,46.3,4.8,7,8,100.0
41,0.4,10.9,11,97.7,11.1,46.3,22.7,1,2,53.12
48,8.8,9.0,0,94.1,0.1,58.4,6.4,9,10,74.78
42,15.9,7.4,7,80.2,30.9,54.0,3.6,6,3,89.77
53,2.5,6.7,8,95.7,17.7,66.1,28.9,2,7,62.52
34,16.8,6.7,10,82.0,15.3,96.9,3.9,1,8,100.0
51,0.1,7.9,1,87.9,7.0,44.6,6.4,7,8,53.64
30,5.9,10.5,20,97.0,28.8,76.2,7.3,8,4,100.0
34,7.2,7.8,1,69.4,37.1,94.8,2.8,9,7,87.78
35,6.4,11.4,8,84.9,15.1,51.8,10.7,5,1,67.08
29,7.5,8.6,3,89.9,8.8,54.7,2.6,8,2,69.24
27,18.0,11.4,4,79.7,29.7,93.4,15.4,1,8,92.97
35,14.8,9.3,16,77.0,20.7,90.5,3.1,1,4,100.0
54,10.8,11.3,4,99.4,19.0,64.2,3.1,10,4,88.6
36,5.8,7.3,3,68.4,42.8,57.5,6.9,8,8,75.21
52,19.3,6.5,15,95.9,44.8,94.6,13.8,2,7,100.0
38,14.4,6.8,15,72.8,14.5,69.4,27.2,2,3,86.35
24,8.3,11.8,13,64.8,23.0,49.2,29.8,8,2,72.73
41,16.0,11.0,14,67.5,29.1,91.9,21.4,5,7,100.0
38,3.2,11.6,10,92.4,23.6,89.9,4.1,9,2,93.32
53,3.4,10.6,3,60.9,32.0,79.4,10.0,5,4,64.77
37,13.6,11.0,20,61.0,5.3,43.6,15.2,1,4,87.62
24,2.6,8.9,6,85.7,21.7,89.7,17.4,8,1,73.27
23,14.7,7.2,3,78.8,42.0,53.6,8.6,1,1,69.37
36,4.1,7.1,9,95.6,40.4,55.0,8.7,8,1,79.45
42,13.0,8.6,14,72.6,29.2,64.4,1.3,10,5,100.0
39,6.3,9.8,17,63.8,31.6,50.1,14.5,1,10,86.31
53,10.6,8.4,20,60.5,20.4,79.1,10.3,6,3,100.0
40,15.2,9.1,17,76.5,1.9,44.1,1.3,6,5,100.0
44,4.4,8.7,4,83.4,49.6,46.3,16.6,6,9,68.91
51,18.8,10.9,20,80.5,2.6,81.3,11.3,7,5,100.0
45,14.8,6.3,6,87.2,29.5,80.8,20.8,10,9,100.0
45,15.6,9.9,18,61.3,38.0,41.0,16.3,8,4,100.0
44,12.6,7.1,18,100.0,14.8,83.3,1.6,3,5,100.0
36,7.4,11.3,20,77.3,23.8,84.5,22.3,6,9,100.0
45,12.1,9.8,3,81.7,45.1,73.1,22.5,3,4,73.14
24,15.6,7.8,2,71.1,13.1,72.0,0.9,2,10,83.99
35,16.0,10.5,19,77.1,30.0,42.4,16.0,8,8,100.0
23,8.9,10.2,9,87.6,46.2,42.0,6.2,3,8,83.81
40,11.7,10.2,15,63.4,31.1,81.7,4.9,9,2,100.0
43,2.1,9.5,11,89.0,47.5,83.6,17.5,10,8,97.56
29,16.5,6.2,9,98.7,7.4,70.1,18.8,3,6,90.8
30,8.3,6.2,15,76.7,29.3,46.2,17.0,6,7,88.72
49,15.9,10.1,16,93.6,29.2,44.7,1.7,1,6,100.0
40,16.4,7.0,13,98.1,21.5,72.1,24.2,10,3,100.0
55,6.0,8.0,17,83.0,25.5,54.3,21.4,3,10,89.5
51,19.1,6.9,15,84.4,12.0,61.3,15.3,5,8,100.0
32,0.2,10.9,13,80.0,48.1,87.5,5.0,7,6,97.75
44,18.0,8.5,10,62.4,26.3,62.4,17.0,10,7,100.0
55,19.4,10.7,9,77.5,40.2,40.1,9.7,9,9,100.0
42,13.1,8.9,4,68.3,4.5,42.5,27.1,9,1,58.24
28,5.4,11.6,10,88.2,22.6,68.4,9.9,3,6,80.95
30,4.0,9.4,0,63.8,0.1,72.7,21.4,2,9,47.32
47,19.6,8.1,2,98.8,11.3,85.5,2.6,2,9,97.84
54,19.2,11.4,18,76.0,40.7,41.4,28.1,7,2,100.0
30,0.2,11.2,16,87.3,41.2,74.5,16.7,5,1,84.43
26,12.8,9.2,19,63.2,37.1,93.1,24.2,5,10,100.0
48,10.9,7.1,11,80.1,36.4,70.5,1.2,6,2,97.13
52,3.4,6.6,14,95.9,1.9,73.9,7.3,4,2,83.28
31,11.5,10.5,3,73.8,44.8,96.9,28.2,10,6,88.98
46,1.1,10.8,16,97.4,5.9,43.9,29.5,2,6,65.12
54,16.4,6.7,7,96.7,36.8,42.1,28.0,9,3,83.13
24,12.7,10.7,9,96.9,14.9,60.5,22.0,8,6,88.78
33,12.1,10.3,6,95.2,24.5,49.6,13.8,2,4,72.35
34,15.5,7.4,5,98.7,9.0,51.7,12.8,1,2,70.38
41,16.2,6.1,2,92.4,13.5,56.3,5.0,7,2,79.59
48,15.1,6.2,18,67.6,23.7,61.7,24.0,5,3,97.6
44,0.4,6.6,11,96.0,42.4,72.6,9.6,1,10,84.39
39,18.3,6.6,8,70.0,41.7,55.3,29.2,8,6,89.75
50,8.0,11.8,16,86.4,40.0,84.9,11.9,6,1,100.0
53,2.8,9.2,9,77.3,35.1,78.8,22.3,9,5,80.61
52,9.0,6.8,12,79.8,3.1,69.5,26.3,8,10,89.25
47,14.8,8.9,20,80.9,37.6,54.3,17.9,6,5,100.0
41,5.5,10.3,2,66.5,2.1,56.8,2.4,6,1,54.85
41,1.7,7.6,7,96.9,19.7,91.9,8.1,2,2,73.39
52,4.5,6.1,14,77.1,16.8,98.9,5.8,8,4,100.0
36,7.3,11.2,16,86.0,16.7,77.4,23.5,9,10,100.0
54,19.2,7.8,1,71.3,37.1,96.2,26.0,2,4,80.95
55,10.0,8.3,4,72.9,9.3,85.2,8.1,5,7,81.11
28,10.9,6.1,19,99.4,6.9,76.6,5.0,9,7,100.0
23,3.0,7.4,3,78.4,46.6,70.8,8.4,9,3,73.18
23,5.7,9.4,11,88.4,48.8,68.2,29.9,1,5,74.41
37,18.2,9.4,6,90.9,42.0,84.1,7.5,2,4,99.36
22,19.2,11.4,7,74.6,48.3,97.0,8.1,5,9,100.0
35,2.3,9.8,18,84.1,15.2,67.4,2.4,5,7,97.6
37,2.3,10.9,14,91.8,18.4,45.2,8.6,7,6,82.71
25,6.4,9.0,16,86.4,9.7,85.2,2.8,7,10,100.0
22,12.4,8.3,8,95.5,23.9,73.4,26.3,10,8,95.62
23,7.3,10.1,11,68.0,7.9,79.6,11.9,10,4,89.84
39,5.5,7.7,17,60.1,17.5,42.7,20.0,1,6,71.42
23,7.9,8.3,13,61.1,48.0,88.4,8.6,7,1,98.01
26,1.7,11.2,18,73.9,4.9,74.7,13.5,2,3,80.3
24,14.4,8.4,10,89.7,23.3,48.4,8.1,8,6,96.29
41,15.8,9.4,17,73.8,21.6,49.1,1.3,3,9,100.0
54,14.8,8.4,9,78.7,33.7,92.2,16.0,6,10,100.0
45,10.9,10.1,14,76.0,47.6,48.9,19.1,8,8,98.23
45,8.8,9.4,1,69.7,46.2,67.4,1.0,1,6,70.17
35,1.0,8.7,20,66.4,14.1,98.2,23.0,4,5,92.47
22,15.1,7.2,12,94.3,32.5,68.3,6.4,5,9,100.0
39,3.1,8.9,12,67.7,19.9,64.3,1.8,2,5,76.77
48,1.9,9.7,20,71.1,32.0,43.9,17.6,3,10,86.53
53,11.6,11.6,13,82.9,24.2,41.7,5.5,7,5,93.17
32,8.7,9.3,9,66.7,10.9,94.3,18.4,9,5,89.87
42,4.7,9.8,8,99.5,19.7,60.7,7.1,8,6,83.79
28,5.3,10.8,16,69.0,35.0,73.8,29.1,6,6,88.23
55,9.8,7.4,17,89.7,26.9,99.2,3.8,6,5,100.0
53,12.6,11.3,5,61.3,5.7,56.2,12.9,7,7,74.42
48,2.0,8.3,11,65.6,35.3,46.2,25.8,4,2,56.85
41,17.9,9.0,16,76.6,1.8,99.6,17.2,7,7,100.0
40,17.1,6.5,11,84.9,2.0,87.7,1.2,6,9,100.0
22,13.7,9.1,12,74.8,35.2,63.7,18.3,9,6,100.0
44,16.4,9.7,9,65.1,32.6,47.0,5.9,1,2,79.54
53,3.3,8.2,6,77.6,31.8,51.0,17.2,8,1,61.28
54,9.4,11.7,4,65.9,19.2,94.0,11.4,9,7,88.22
38,6.7,11.6,20,81.3,46.1,90.4,18.8,1,9,100.0
54,3.4,9.1,3,93.5,24.2,69.0,0.7,8,8,80.04
42,14.9,8.0,5,85.1,4.5,92.8,23.0,5,4,83.55
40,3.4,10.8,17,92.1,10.4,84.0,28.2,3,3,83.0
30,16.7,10.5,20,88.9,24.0,41.9,8.6,5,5,100.0
54,2.9,11.0,8,86.8,21.5,62.7,6.8,3,8,74.65
52,11.0,6.3,7,83.6,12.2,62.6,9.5,9,9,91.12
30,11.9,9.6,13,62.4,1.1,65.1,16.5,3,10,87.58
35,10.0,11.9,5,87.3,34.8,73.3,29.1,4,2,68.93
45,0.9,10.5,6,97.8,0.7,54.7,1.7,6,3,63.95
50,14.5,10.8,0,70.9,45.0,71.8,5.7,8,6,86.41
49,8.3,6.3,20,85.4,45.4,77.6,22.9,10,10,100.0
30,19.3,9.4,5,83.9,26.0,48.3,6.1,6,5,89.79
24,3.1,7.0,2,79.8,39.8,44.2,20.6,1,7,47.64
52,15.5,6.3,13,88.4,10.4,57.0,6.6,5,9,100.0
53,0.4,12.0,3,89.4,23.1,91.4,20.5,9,6,71.54
32,18.4,9.8,0,91.8,33.9,78.7,7.9,3,1,82.03
38,19.5,12.0,15,83.5,13.0,73.3,18.0,9,4,100.0
48,19.0,10.9,7,92.5,40.8,70.8,7.9,8,8,100.0
34,9.4,8.2,3,69.9,42.4,54.3,12.2,5,4,67.77
34,2.6,10.1,11,61.1,32.7,79.6,29.9,6,1,67.77
28,15.7,7.9,11,85.0,42.6,99.8,24.1,5,2,100.0
23,15.6,8.1,14,70.4,23.3,89.8,19.2,3,6,100.0
50,14.0,11.1,14,97.1,15.0,95.9,14.9,4,9,100.0
54,14.5,12.0,6,73.5,21.6,86.1,27.3,6,7,86.66
41,0.9,9.3,18,79.6,35.0,62.9,29.3,7,5,84.13
26,2.4,9.3,19,65.7,22.1,93.4,7.7,2,9,100.0
48,8.9,6.2,4,95.4,20.6,56.1,8.7,7,2,72.74
38,6.7,9.1,9,71.3,28.3,82.6,13.8,6,4,83.78
52,8.1,11.7,13,77.2,42.3,53.0,10.8,5,2,85.1
26,10.0,7.4,3,95.3,24.3,45.0,7.3,9,8,80.12
51,3.9,11.8,4,60.7,17.1,44.0,8.1,8,1,53.96
30,3.2,8.2,4,87.6,17.2,60.9,18.1,7,6,63.72
21,0.8,12.0,0,70.2,20.5,43.9,15.7,8,10,50.85
22,3.2,9.8,10,72.7,33.9,95.4,17.0,7,6,88.71
51,6.2,6.4,11,75.4,24.4,92.6,19.8,9,9,98.07
46,3.1,7.8,4,60.8,26.3,42.6,4.6,10,5,63.68
36,2.1,6.2,17,89.4,4.3,63.0,2.5,6,8,95.29
30,0.4,7.0,1,90.7,0.4,73.0,19.8,5,5,49.97
23,12.9,7.2,10,76.8,14.1,75.1,3.8,5,1,90.61
31,4.6,10.3,2,88.0,33.8,58.7,19.4,1,7,56.0
35,8.7,6.3,8,96.7,32.6,84.5,23.7,5,4,84.94
27,14.7,7.1,12,74.3,42.1,65.9,0.8,10,9,100.0
45,15.2,10.4,19,82.0,40.3,97.2,7.1,5,7,100.0
34,12.1,11.3,11,95.4,4.6,52.7,11.2,7,10,95.5
47,17.8,9.3,18,92.6,15.8,57.9,19.7,3,10,100.0
41,15.7,10.9,12,97.5,9.8,59.7,18.2,8,4,97.6
25,6.9,8.7,7,90.7,28.9,92.0,25.1,2,3,74.52
46,13.5,9.6,8,65.5,27.0,54.9,8.7,3,3,77.72
50,3.3,8.0,20,90.0,6.7,87.0,10.9,7,10,100.0
52,3.0,9.9,14,90.2,35.3,70.8,19.7,3,4,81.83
32,3.0,7.8,7,69.2,2.4,94.9,28.1,3,2,58.89
32,3.8,11.3,5,66.8,16.7,40.5,27.6,9,3,49.88
26,14.8,8.3,11,68.0,7.9,95.5,22.2,6,8,100.0
51,12.2,7.3,17,97.6,31.3,61.9,13.9,8,7,100.0
51,8.5,9.0,10,89.9,7.0,48.4,25.9,7,7,75.02
21,8.8,7.2,10,74.0,34.7,55.9,27.6,5,5,74.2
44,0.7,10.6,7,79.4,25.7,45.6,2.4,10,3,69.43
21,10.8,10.9,10,66.1,44.8,47.7,24.5,5,4,75.12
35,15.6,10.0,10,78.8,21.1,80.6,1.2,1,4,97.29
43,11.2,8.1,12,100.0,11.1,59.4,13.5,7,10,99.56
35,3.6,6.9,7,96.4,30.3,41.3,15.1,9,6,72.34
24,2.1,7.4,17,74.1,13.4,58.1,27.8,2,3,67.68
37,7.3,7.8,15,97.4,15.8,90.0,1.0,7,9,100.0
38,16.2,10.9,4,83.0,8.3,73.6,15.7,8,6,87.67
55,3.1,10.1,7,73.3,29.9,45.3,0.9,8,2,69.1
33,9.3,7.7,3,62.7,39.7,46.4,14.6,1,3,54.47
34,11.9,9.6,13,87.4,1.8,48.7,29.7,7,7,82.79
47,10.9,7.2,0,61.8,25.1,92.1,17.3,2,3,63.91
40,10.4,8.8,20,78.0,8.4,53.7,14.8,3,2,91.18
36,17.6,7.4,18,87.8,47.6,98.7,24.9,6,1,100.0
49,2.6,11.8,13,66.4,15.7,99.4,29.8,2,7,77.61
37,15.4,9.4,8,73.8,9.2,45.8,22.1,7,4,75.98
36,5.7,8.4,2,75.1,29.3,95.6,26.9,5,9,71.74
44,17.7,11.7,2,90.7,40.0,54.3,2.5,9,7,96.34
33,17.8,9.9,18,70.0,30.2,63.5,16.0,10,5,100.0
41,19.0,8.0,12,86.3,0.8,96.1,5.8,10,5,100.0
24,19.5,6.0,15,94.3,2.7,68.7,8.5,9,4,100.0
41,7.9,7.8,11,64.3,5.1,45.5,13.0,8,9,79.95
21,7.5,9.0,13,86.7,27.2,44.3,0.7,10,5,96.19
23,19.4,8.0,12,69.4,24.8,91.8,2.6,9,2,100.0
41,10.4,11.4,20,70.7,9.5,84.8,12.9,2,10,100.0
50,18.1,9.0,4,80.6,34.2,85.0,13.5,3,10,97.61
44,9.4,10.7,5,62.8,32.4,97.5,1.1,4,3,86.31
22,19.0,6.2,17,74.9,7.7,97.4,25.2,2,9,100.0
38,9.3,6.7,6,84.2,24.2,85.8,9.8,4,2,81.16
39,14.2,8.8,18,95.1,42.9,43.6,8.2,2,9,100.0
29,17.9,10.2,19,77.6,45.7,81.3,0.4,7,8,100.0
45,13.7,6.4,19,66.8,9.1,44.3,26.7,5,5,89.38
21,7.3,7.1,5,78.0,1.4,78.1,18.7,8,6,74.02
23,9.2,10.0,18,79.7,25.8,85.2,20.5,9,10,100.0
28,8.9,8.6,14,80.5,28.5,53.2,14.5,9,5,94.02
21,14.8,6.7,20,64.8,6.3,49.0,20.6,8,10,100.0
32,18.4,9.1,19,81.4,30.4,79.2,13.3,1,7,100.0
50,4.6,6.5,17,73.3,36.4,51.3,28.2,4,1,73.9
36,4.0,7.6,5,85.1,8.4,68.1,23.0,2,1,51.23
23,3.0,9.0,19,98.6,22.6,81.0,1.9,1,6,100.0
30,14.7,10.1,0,70.5,33.1,54.8,27.3,9,9,72.6
25,10.5,6.2,11,92.3,29.7,58.9,25.6,2,6,80.17
38,12.5,8.5,20,84.9,21.5,87.1,20.5,8,6,100.0
25,5.0,6.7,8,85.3,22.6,77.0,7.9,2,4,75.88
33,4.3,11.1,15,75.3,41.8,77.2,17.1,8,9,100.0
41,18.3,9.2,14,67.1,14.5,40.9,13.5,3,7,92.24
36,13.3,6.5,2,74.5,45.0,74.1,10.3,3,3,76.73
54,2.2,9.1,4,67.1,38.0,70.8,26.8,3,7,56.6
33,1.2,9.0,19,84.8,9.9,83.5,24.7,3,8,89.71
33,4.5,9.9,15,72.0,12.2,66.0,26.7,7,6,81.04
24,11.7,10.2,1,61.6,35.4,49.1,22.6,8,10,68.83
26,9.0,7.6,20,82.9,46.4,78.1,0.8,1,9,100.0
52,18.0,11.3,3,97.9,29.2,84.9,5.7,6,1,95.49
22,4.2,6.4,16,67.9,32.8,43.1,10.2,6,3,81.02
50,15.6,11.9,6,66.0,28.5,91.5,7.4,5,1,91.33
33,16.2,11.4,12,91.8,34.9,69.4,12.2,9,6,100.0
54,0.8,6.8,0,90.2,3.5,89.5,8.6,10,2,64.37
33,3.8,10.6,2,91.6,29.6,94.0,14.6,8,5,77.54
38,10.5,6.6,12,60.7,44.7,92.6,0.8,7,8,100.0
21,4.4,7.5,0,97.3,29.7,60.5,23.4,6,2,52.88
34,15.2,7.1,3,81.0,28.1,41.3,22.2,3,4,63.27
52,18.1,7.2,0,86.9,32.6,54.9,28.8,4,3,65.46
26,17.0,9.1,8,76.0,16.2,93.9,18.8,3,5,93.91
52,8.2,11.2,12,83.8,19.7,56.7,4.6,7,10,97.05
38,10.9,11.8,10,81.5,35.5,66.6,29.9,2,4,75.91
50,18.6,9.7,14,68.2,21.0,89.3,16.7,5,8,100.0
