Age,StudyHours,Attendance,PreviousMarks,AssignmentScore,QuizScore,Backlogs,Activities,SleepHours,PerformanceScore
24,8.8,88.4,45.8,47.1,83.6,0,4,7.6,87.0
24,3.9,96.9,42.5,41.3,40.3,2,5,7.3,55.57
20,7.7,84.3,81.8,61.1,42.5,3,4,5.4,73.87
21,6.1,75.6,54.7,68.3,73.0,5,7,5.0,55.82
20,7.9,67.0,55.8,77.9,74.7,1,7,6.5,80.21
19,8.9,68.5,87.9,59.1,51.6,2,1,7.0,81.84
19,6.0,58.8,76.4,59.2,71.5,5,10,8.9,61.83
25,1.3,55.5,51.9,86.1,67.3,3,4,4.2,38.81
18,4.3,75.5,70.1,56.8,95.9,2,7,4.2,64.8
18,4.1,58.9,67.0,74.4,87.2,0,8,4.4,69.49
22,5.0,78.4,85.0,74.1,88.4,5,2,4.7,58.88
18,3.5,70.8,71.4,52.6,74.4,0,5,4.7,65.91
22,1.2,51.5,71.1,63.1,69.7,0,10,4.5,55.66
25,9.9,59.2,71.5,56.2,65.8,0,0,4.2,85.72
19,9.4,74.6,58.4,76.3,60.4,2,3,5.9,80.19
22,3.5,80.1,66.2,80.0,43.4,1,10,7.8,67.71
21,5.5,54.7,68.7,87.7,73.2,0,2,5.1,72.3
21,6.0,68.0,71.0,89.0,45.6,4,10,6.3,64.11
25,9.6,67.2,70.9,91.4,71.6,1,10,7.8,94.66
24,5.2,81.0,76.0,79.0,97.5,0,7,7.7,84.85
21,2.9,77.8,82.0,95.4,76.5,1,7,6.0,70.35
21,7.9,90.8,82.2,85.7,52.1,0,9,7.2,95.79
19,4.7,82.3,64.3,62.9,83.4,0,9,4.3,74.77
18,5.6,59.1,88.7,85.1,72.8,0,5,9.0,83.69
18,3.0,62.5,71.0,47.7,56.6,3,9,5.8,50.98
22,5.0,63.6,86.5,84.6,68.2,3,1,6.1,64.22
25,8.1,61.0,62.2,89.3,76.6,4,10,7.0,72.74
19,2.4,71.7,69.5,70.6,88.8,3,4,4.9,52.16
21,4.6,50.8,58.7,98.8,63.9,0,10,8.2,72.7
22,4.8,68.6,61.4,64.9,96.2,1,0,8.6,68.98
21,8.7,54.9,45.3,72.1,50.6,0,8,8.7,82.08
19,6.8,86.2,64.6,78.9,68.7,5,10,5.2,65.55
19,8.6,56.1,95.0,80.4,53.0,4,1,5.9,73.11
24,7.1,77.2,63.2,65.0,84.8,0,9,7.4,86.52
19,7.1,53.5,81.6,59.6,42.1,4,10,7.9,66.57
20,4.0,59.4,91.5,83.1,57.4,3,0,4.2,57.01
22,1.0,63.6,46.1,81.4,93.4,3,4,7.4,43.12
18,6.0,74.3,78.4,45.0,51.6,5,1,4.8,53.42
22,7.2,87.1,54.7,59.8,82.5,5,2,5.6,60.73
20,4.2,87.7,83.1,76.3,77.6,5,7,4.4,58.41
21,6.6,86.6,77.9,56.2,77.6,1,9,4.6,81.67
25,3.5,73.6,62.0,87.1,51.5,0,5,5.7,66.28
23,1.0,57.6,54.9,66.7,87.2,2,1,5.5,42.63
23,1.8,90.1,43.2,41.7,72.3,4,6,8.8,43.22
23,3.2,94.4,84.9,72.2,43.0,0,5,5.6,72.52
19,2.7,55.4,87.6,91.0,81.6,3,8,8.6,61.64
21,5.6,61.6,92.3,90.5,81.6,0,10,4.0,84.0
19,8.0,81.1,74.8,53.8,70.8,4,5,4.3,70.18
20,4.1,53.7,57.5,57.8,60.5,2,4,7.6,54.95
19,9.6,66.8,61.7,75.8,88.5,2,1,5.6,81.71
19,2.7,86.2,71.4,46.8,59.9,2,2,5.5,55.06
25,7.5,61.5,46.0,95.4,91.8,3,6,8.7,72.22
21,9.7,51.6,77.9,71.7,58.8,0,1,8.9,91.05
18,3.1,67.8,70.5,66.6,81.3,2,10,7.6,62.98
23,4.9,87.4,76.2,84.2,86.9,0,6,5.0,81.24
22,4.6,63.4,47.7,82.0,57.3,0,0,7.8,64.73
22,5.9,92.8,56.3,86.4,86.4,0,7,5.5,82.52
20,9.9,92.6,53.8,54.9,54.2,2,7,7.2,85.18
18,6.2,63.1,43.1,81.8,71.1,3,0,5.6,57.09
20,7.8,73.9,89.9,95.6,53.9,0,2,6.5,90.91
20,9.4,69.4,58.2,54.7,65.2,3,10,8.4,79.42
23,7.3,92.9,73.3,81.8,74.3,2,0,7.5,81.22
23,4.2,51.2,91.4,50.3,44.6,0,7,6.2,69.08
19,9.8,94.0,88.7,56.1,51.5,1,9,4.4,95.84
25,2.8,76.3,78.3,62.6,96.6,4,2,4.6,51.55
23,6.0,93.4,51.5,92.0,57.1,1,9,6.2,77.17
24,4.0,96.6,78.6,42.0,57.6,4,8,7.7,60.63
22,6.5,96.3,73.5,78.6,61.5,5,7,5.9,67.05
22,9.8,92.5,88.1,46.6,65.9,3,3,5.4,85.88
21,6.6,92.6,72.4,83.1,57.2,5,8,5.7,66.75
23,5.1,96.9,44.9,71.1,57.8,3,1,7.0,59.4
22,5.0,66.8,44.8,60.3,45.6,1,3,4.9,57.55
23,2.5,75.7,88.4,43.1,97.9,0,9,4.1,69.94
25,5.9,96.3,56.4,92.8,53.8,1,3,8.8,77.92
25,6.9,50.0,69.7,54.7,57.9,2,10,7.9,71.19
22,1.6,78.7,53.0,62.0,77.0,4,1,5.0,38.79
21,7.5,86.8,69.3,83.5,91.9,0,10,4.8,92.02
21,1.1,98.5,92.1,98.1,49.4,1,5,8.5,68.88
20,8.9,54.9,72.2,75.7,70.8,4,2,8.2,72.48
24,7.0,66.3,57.5,51.5,85.3,1,4,7.3,74.61
23,6.9,71.9,44.2,52.1,82.9,2,5,6.6,67.63
24,6.7,99.0,79.8,98.4,46.0,3,5,4.3,75.79
19,8.4,54.5,84.9,75.8,96.6,0,1,8.6,92.06
23,3.4,90.2,91.8,91.1,73.4,0,6,5.6,79.64
20,2.8,55.9,55.4,84.5,78.8,5,1,6.0,39.06
22,3.1,66.9,48.6,46.7,71.3,5,0,4.3,34.03
22,3.5,70.9,71.3,82.3,74.9,1,8,5.8,67.52
25,9.9,75.7,42.3,42.4,84.8,4,2,8.7,71.73
25,4.9,57.3,60.0,80.6,75.7,1,6,6.1,66.79
22,7.2,56.7,85.5,50.8,56.3,0,2,4.0,77.22
18,9.2,93.3,48.7,82.9,42.1,1,4,6.6,84.73
24,1.4,69.3,72.7,66.8,66.2,3,8,6.8,49.73
18,3.9,57.0,55.2,68.0,81.3,2,0,5.2,52.93
21,2.8,53.2,73.3,97.9,46.8,3,1,7.0,50.13
18,2.1,52.7,54.2,60.6,56.6,1,6,4.4,47.61
20,1.6,99.6,81.4,82.2,70.1,1,6,8.3,69.2
20,2.4,62.0,89.2,47.4,91.3,0,0,5.8,63.97
20,1.9,53.3,75.9,51.7,46.3,5,1,4.3,31.84
23,1.6,88.5,50.8,61.6,56.8,5,2,8.1,37.74
24,3.1,86.1,81.2,59.9,93.4,1,0,5.2,66.45
23,7.2,66.0,69.1,76.2,80.1,5,6,7.5,65.41
22,2.7,57.3,50.9,45.1,42.5,1,6,6.8,49.54
18,6.1,57.6,82.7,91.5,69.7,4,7,8.3,68.52
20,5.6,61.8,55.3,77.3,87.0,5,2,6.7,52.72
25,4.9,79.2,54.6,92.5,91.0,5,10,7.1,59.54
20,3.4,82.3,55.0,44.4,66.1,2,6,5.3,55.16
23,5.1,93.8,81.8,78.3,77.1,0,0,8.7,83.85
25,7.9,78.9,46.8,97.9,89.4,1,9,4.2,82.51
18,2.9,57.2,81.0,66.1,98.8,2,4,4.6,58.38
25,3.4,85.5,88.2,42.9,47.0,2,4,4.6,60.34
20,9.5,95.1,66.7,66.8,80.1,1,3,4.1,89.98
21,5.0,51.6,48.4,53.9,92.3,5,9,7.8,49.34
21,9.0,89.3,63.8,91.9,87.9,4,9,8.2,84.49
24,1.9,87.1,81.6,46.2,43.9,0,2,8.4,63.83
19,9.0,52.6,45.3,94.5,78.2,5,6,8.1,66.22
22,1.6,95.0,60.9,83.6,80.2,0,6,8.8,68.81
21,1.0,62.9,94.6,80.1,56.6,2,6,4.4,53.3
18,4.5,57.1,76.9,98.9,74.8,1,10,5.7,72.72
20,7.6,91.5,63.4,66.1,67.8,5,5,4.3,64.74
23,4.9,65.7,85.1,45.8,73.0,1,7,6.7,72.09
19,7.1,59.4,94.4,63.7,46.4,4,6,5.5,67.39
25,1.3,58.2,61.8,70.5,65.8,4,8,6.6,40.52
24,7.4,73.4,86.0,62.1,78.0,5,9,4.4,68.69
24,1.2,96.9,67.4,61.9,90.6,2,6,9.0,60.28
18,6.4,75.5,60.1,97.8,60.7,4,1,4.2,60.27
18,7.2,99.3,74.7,89.5,43.9,4,0,5.0,69.67
18,4.0,52.2,64.2,71.2,42.1,2,9,7.9,58.22
25,5.2,56.4,41.3,84.7,82.5,3,3,8.8,57.42
24,4.7,95.8,55.1,64.7,50.2,1,2,8.1,68.32
22,9.6,82.1,91.0,52.8,61.4,4,7,8.4,84.89
24,1.7,68.6,55.0,50.2,43.4,0,3,7.8,52.93
22,7.8,92.9,74.5,73.2,93.5,3,2,6.5,80.57
18,9.0,94.6,93.3,71.9,57.1,0,10,6.3,100.0
20,3.9,70.5,64.4,72.7,80.1,1,0,8.9,65.98
20,2.3,90.5,43.7,67.7,77.8,3,7,7.1,51.38
20,5.5,99.8,84.1,59.2,53.9,5,0,6.2,60.5
18,9.1,68.7,93.7,45.7,42.0,1,9,5.1,87.93
20,8.8,51.5,68.7,97.1,67.7,3,2,7.3,75.45
23,1.5,55.3,84.6,59.4,82.0,2,7,5.5,53.35
23,6.1,73.4,41.4,88.0,95.4,2,2,5.9,66.67
23,7.1,71.5,47.7,68.1,63.9,0,5,4.6,74.92
22,5.2,57.2,76.5,79.2,48.0,1,2,6.4,67.49
22,5.2,91.4,81.6,68.9,78.5,0,10,5.6,84.82
18,8.4,87.4,86.0,68.4,70.2,0,5,6.7,95.64
20,3.3,91.4,84.9,69.7,62.3,1,9,6.6,73.0
19,9.2,98.0,56.7,69.9,67.0,1,1,6.8,87.56
24,3.3,88.6,41.1,71.4,93.5,1,4,8.1,63.79
25,8.4,72.1,53.6,74.3,43.9,3,1,4.8,66.54
20,2.8,86.1,84.8,94.1,52.4,0,5,6.2,72.97
23,3.4,68.4,65.0,85.8,81.9,0,5,7.4,70.2
23,9.9,94.0,76.3,58.0,70.1,4,2,7.4,82.69
18,9.8,61.7,55.5,68.7,74.4,2,8,6.2,81.93
24,5.5,62.1,49.4,78.8,96.4,4,10,5.2,58.49
20,4.2,68.4,56.3,54.2,76.7,5,0,5.1,42.75
18,6.0,81.1,79.9,83.9,63.0,4,9,9.0,72.39
23,5.3,52.9,61.7,56.3,76.9,0,0,4.4,64.93
21,1.6,87.8,48.7,63.8,63.5,4,10,8.9,46.77
23,5.4,59.3,84.6,67.0,93.8,0,2,8.6,80.29
22,8.7,60.2,91.3,73.5,91.9,1,6,4.9,90.1
19,7.9,64.8,77.9,91.5,75.2,3,0,6.9,75.61
18,3.2,85.1,44.6,86.9,57.7,3,6,5.4,51.83
21,8.5,56.2,91.2,42.5,94.9,5,2,4.1,66.88
19,5.4,62.3,79.7,60.2,44.2,3,10,7.0,64.42
22,6.0,61.7,42.4,99.4,97.5,3,7,6.0,64.13
23,6.6,75.1,76.8,90.8,71.4,5,7,4.9,65.24
24,3.1,70.2,94.2,69.3,71.9,3,5,5.4,60.01
21,7.3,97.0,55.4,80.3,70.3,1,6,6.1,82.61
21,4.0,76.2,92.2,59.1,49.0,2,0,6.6,63.7
20,4.6,96.8,56.0,65.4,46.9,5,1,4.5,47.99
20,8.0,70.5,54.0,60.8,62.5,5,8,8.4,64.33
23,2.4,90.6,43.1,48.5,84.8,4,9,6.2,46.53
18,2.2,51.1,82.7,90.3,93.7,4,5,6.4,51.0
23,8.9,86.7,57.6,75.4,87.2,0,8,4.7,92.3
21,8.7,88.7,83.2,75.8,42.6,5,3,8.6,75.28
24,3.3,82.8,62.6,48.0,51.2,2,9,5.9,57.73
23,2.8,70.3,59.2,64.0,59.9,3,6,6.4,49.85
18,6.0,81.1,81.5,80.2,91.9,4,9,8.1,74.4
18,5.1,57.3,86.6,50.8,41.4,5,1,6.1,49.33
19,8.7,66.7,40.8,60.1,86.6,0,5,7.5,83.01
22,9.9,72.4,63.6,43.9,99.7,4,1,8.4,77.24
25,3.0,91.6,72.7,43.1,90.6,5,10,4.8,51.67
25,4.5,67.4,45.8,90.6,51.0,5,4,8.4,47.49
20,1.5,66.0,68.5,81.9,98.4,0,9,4.8,63.66
20,9.0,58.7,43.3,66.0,83.7,5,3,4.8,59.83
19,2.5,74.5,52.0,82.3,80.2,5,2,4.8,39.95
23,7.2,56.1,51.5,96.4,61.7,5,3,4.9,55.1
19,9.7,83.5,47.9,96.0,68.4,3,1,4.7,77.11
18,3.4,88.1,83.7,64.5,69.6,4,4,7.9,59.45
21,8.8,87.4,62.7,62.1,51.6,3,1,6.2,74.42
24,6.6,50.5,69.5,90.0,85.9,1,4,6.2,75.67
24,5.7,98.0,51.6,79.5,85.0,3,8,6.8,70.55
19,8.9,60.1,93.1,81.9,60.6,5,1,7.3,72.95
24,9.2,92.4,79.5,90.2,64.4,1,5,7.0,96.11
23,2.3,98.8,58.8,68.9,62.8,5,8,6.0,46.83
22,2.4,77.1,78.7,45.6,84.7,0,1,6.4,64.62
20,6.7,66.3,49.6,99.2,62.2,5,10,8.9,62.5
21,4.3,81.2,58.2,85.7,47.0,2,8,7.8,65.06
20,2.6,90.6,62.5,60.6,48.9,0,7,8.0,66.59
25,4.0,81.6,82.7,86.5,63.2,2,7,5.6,69.06
23,9.1,82.2,44.7,51.5,47.3,3,0,6.9,68.8
19,4.3,87.0,57.7,67.7,73.7,5,7,8.3,54.97
24,5.5,66.3,93.9,60.4,54.3,4,10,6.3,65.51
18,7.6,59.1,71.1,43.8,84.1,3,10,6.6,72.38
19,1.4,91.4,94.1,66.8,68.2,0,2,7.3,69.2
19,5.6,79.9,63.2,88.1,70.4,3,5,5.1,65.63
25,6.7,59.0,92.4,47.2,78.0,0,4,4.5,80.72
24,8.1,63.6,43.6,58.3,73.6,3,8,4.9,66.11
20,8.4,81.5,64.2,87.7,88.9,3,2,4.3,76.91
22,2.8,54.1,70.7,73.6,91.4,1,2,6.4,59.59
22,4.5,61.3,81.7,55.1,62.9,1,9,8.5,71.48
25,1.7,50.1,69.2,95.3,94.7,0,3,5.5,60.12
25,4.6,67.4,54.9,78.5,94.3,1,8,8.2,71.09
20,2.8,52.0,61.2,45.8,71.6,1,9,5.7,54.84
19,5.0,73.7,60.6,52.9,95.3,2,7,5.2,65.41
19,8.0,52.7,91.3,94.5,55.7,3,3,4.6,74.48
20,3.9,53.2,84.9,89.9,46.4,1,1,7.4,65.0
21,7.0,95.9,83.2,76.5,87.5,1,1,5.5,86.38
23,9.2,60.7,84.2,52.7,92.0,5,0,6.1,70.56
25,4.8,77.4,69.2,84.8,85.6,4,3,4.3,58.82
25,5.1,86.3,90.3,95.8,86.7,3,1,7.1,74.08
20,5.2,66.1,47.4,62.3,74.0,1,4,4.7,62.2
25,2.8,60.0,69.1,82.2,65.6,0,2,5.8,62.05
20,4.9,87.9,57.1,98.2,79.2,3,2,7.3,65.5
24,8.4,55.7,52.5,83.7,56.6,4,7,4.7,64.09
24,5.6,82.0,46.5,74.1,71.5,5,10,5.8,55.78
22,1.5,54.1,87.0,96.8,87.3,0,3,8.7,67.18
22,6.7,84.3,91.0,51.7,48.0,0,8,7.3,87.68
25,1.3,65.9,47.4,63.6,97.8,4,7,6.7,40.57
18,5.8,92.1,71.2,62.0,51.4,0,1,4.7,75.96
25,2.6,81.2,75.6,69.6,81.2,5,2,7.3,48.92
20,9.5,83.8,53.6,70.2,92.8,5,6,7.8,75.26
18,3.1,85.5,84.6,40.5,64.1,0,4,8.6,71.71
19,2.5,65.9,80.6,77.9,65.5,4,7,4.6,49.77
23,1.5,97.1,92.1,96.1,71.9,0,6,7.1,75.34
19,3.2,79.3,63.7,65.4,89.6,1,6,5.3,64.39
21,7.3,75.9,47.1,93.1,46.7,2,6,8.6,73.73
24,3.6,93.1,81.1,69.1,92.5,0,8,6.8,80.25
20,8.2,89.5,66.8,42.4,68.8,1,2,5.2,80.72
24,9.1,71.8,42.5,96.2,75.3,4,5,6.9,71.94
18,4.8,90.5,47.2,76.4,40.8,2,2,7.0,60.82
24,5.7,52.6,78.9,81.0,95.7,3,0,5.3,64.02
21,2.8,85.9,62.9,56.6,80.6,5,8,8.0,49.83
25,3.2,91.9,55.6,78.3,42.9,2,2,5.4,55.6
20,9.9,63.9,60.8,81.7,81.7,3,6,4.4,79.32
23,3.3,95.4,89.6,83.3,87.1,4,8,5.3,65.02
20,1.9,61.5,92.7,51.5,41.5,2,9,7.1,55.98
24,8.7,75.3,50.5,89.6,44.1,4,9,5.4,69.75
19,8.5,59.1,88.0,68.1,51.9,0,8,5.8,89.62
24,4.4,62.3,66.9,89.7,78.8,3,6,6.0,60.64
20,9.3,95.4,51.8,99.7,42.3,0,0,4.1,87.53
25,8.1,61.5,71.8,55.6,43.7,4,10,4.9,66.48
18,4.2,81.7,56.7,41.8,82.2,5,7,6.9,50.11
19,2.0,94.3,65.4,97.9,74.1,4,5,7.1,54.01
19,9.9,70.5,44.3,52.9,79.1,5,9,7.8,70.28
23,5.5,69.6,81.7,47.6,61.3,5,9,7.6,59.34
18,7.4,79.2,85.8,54.4,46.8,4,1,6.6,68.11
24,3.6,64.8,41.4,45.0,62.7,2,2,5.7,47.18
24,9.4,70.2,57.7,68.5,69.6,1,4,5.0,82.87
23,1.4,54.4,94.1,68.3,92.4,0,6,5.1,64.17
23,2.3,92.3,73.3,49.5,59.3,5,0,5.2,42.07
21,3.2,70.5,58.9,90.9,79.6,0,8,5.0,67.68
19,3.2,87.0,72.2,53.6,56.3,5,3,6.4,47.14
23,7.7,95.0,82.0,98.8,77.5,1,9,6.7,95.13
22,4.9,97.7,46.7,57.5,45.4,4,1,8.9,54.5
22,6.5,95.9,85.1,71.6,43.6,2,0,8.1,78.08
24,8.4,71.5,67.4,56.7,61.8,2,1,4.8,73.9
20,9.7,94.8,55.9,87.9,80.1,2,10,8.4,93.94
24,8.1,93.4,64.2,82.0,59.7,4,5,5.2,73.0
25,7.8,63.3,40.3,67.0,60.1,2,0,5.0,63.65
23,3.6,56.4,88.2,92.2,90.6,5,7,4.7,54.21
22,5.5,98.3,56.7,89.5,90.1,0,0,6.0,79.8
20,1.7,54.0,57.6,80.5,51.5,0,2,6.9,53.1
20,5.3,94.7,48.9,83.9,56.0,0,0,8.5,74.86
18,3.0,90.7,50.2,59.5,50.9,4,1,4.1,42.33
18,7.8,50.7,90.2,57.8,82.1,1,4,8.7,84.58
19,9.4,52.7,69.1,66.2,81.1,0,10,5.3,90.44
21,6.3,85.1,52.2,93.2,95.8,0,3,7.0,82.67
22,4.0,91.2,77.9,87.4,89.3,0,8,5.9,81.29
20,4.8,100.0,59.0,52.3,92.0,2,1,7.1,67.98
24,1.1,78.3,93.0,98.2,80.0,5,1,6.4,48.03
20,2.7,90.1,79.1,66.5,40.6,4,4,5.0,50.3
20,5.8,88.7,49.0,64.0,83.1,1,9,8.7,77.1
22,8.9,90.6,65.3,81.2,41.1,0,8,7.4,93.68
24,2.9,81.3,55.6,65.9,48.9,1,8,8.3,61.54
21,7.3,74.0,84.5,83.8,47.2,0,6,5.2,86.42
24,5.3,94.0,53.6,86.5,41.7,3,8,6.0,64.22
21,2.4,98.9,52.5,68.9,70.8,1,1,7.3,60.27
21,1.6,63.6,44.4,57.9,79.1,4,9,5.1,37.52
21,1.8,87.9,41.1,99.2,63.6,5,5,8.6,42.44
24,2.5,68.5,86.2,99.2,58.4,5,2,5.8,47.81
25,5.3,98.8,92.6,52.6,56.0,4,7,8.7,71.17
18,6.6,94.4,42.3,72.0,46.2,1,2,8.1,72.78
21,5.0,99.2,59.5,43.6,90.8,3,3,7.6,65.25
25,6.6,88.3,79.8,84.0,45.4,3,6,7.0,74.95
23,5.8,78.1,45.9,86.3,40.0,0,5,7.7,73.13
22,2.0,51.5,86.3,90.2,92.6,2,0,7.0,57.16
19,2.5,98.2,85.2,84.1,84.3,5,5,7.8,58.08
24,8.9,89.5,65.2,67.4,62.7,4,6,8.7,78.51
22,3.3,57.6,70.7,69.4,45.1,0,1,4.1,58.44
25,5.9,94.2,83.1,70.5,73.3,2,7,4.3,77.39
19,8.1,66.4,57.5,84.3,51.8,0,8,5.4,83.06
22,4.7,62.4,88.2,61.2,57.0,0,5,5.9,73.55
20,1.3,88.7,62.7,93.3,66.7,3,4,4.3,48.91
21,3.9,84.5,57.8,60.1,40.5,4,1,8.1,49.61
25,3.7,93.6,91.2,73.7,80.6,3,9,6.5,70.75
25,9.1,84.7,70.1,92.5,64.9,5,6,7.4,77.01
21,8.1,55.0,42.8,51.7,80.2,4,9,6.7,62.49
18,7.7,65.7,77.9,92.9,63.0,2,9,7.8,83.3
21,1.2,82.2,78.7,67.8,74.3,4,2,4.7,44.83
22,5.6,73.6,93.6,80.1,77.3,0,4,8.5,86.76
23,3.6,73.6,65.2,90.8,45.3,4,0,7.8,50.83
18,4.7,79.0,42.3,49.3,51.4,2,9,8.7,60.44
20,8.0,73.9,83.8,52.1,87.0,2,9,8.1,86.24
19,6.0,96.2,47.4,93.8,52.0,1,2,5.0,71.67
24,2.0,66.4,89.2,69.3,57.6,2,0,4.8,53.07
25,7.9,87.5,62.9,80.5,89.8,0,8,8.2,94.06
18,8.7,58.3,44.4,52.1,79.3,4,2,8.5,64.2
23,9.0,85.8,54.3,84.5,81.8,1,4,6.0,87.37
18,8.8,66.5,72.4,54.1,50.2,0,9,5.2,86.73
21,9.4,64.5,86.5,66.4,70.9,0,0,4.0,89.86
24,1.6,72.8,52.3,48.4,82.6,2,8,7.8,50.93
23,9.6,54.9,83.7,97.0,99.7,1,2,4.4,91.38
20,2.4,55.4,65.4,50.4,70.6,3,2,7.3,45.43
21,1.9,64.6,59.1,93.2,74.1,4,6,5.2,44.23
21,9.8,61.0,59.4,96.8,64.9,4,7,5.9,75.82
21,9.4,94.1,43.9,59.0,52.1,4,9,8.0,75.0
24,6.8,64.2,53.0,67.9,92.0,2,9,7.1,72.88
20,4.2,75.3,70.2,46.4,67.6,3,10,7.7,61.51
19,9.1,58.5,73.9,68.6,52.4,5,7,7.1,69.27
25,4.7,92.3,72.7,44.5,96.7,2,1,6.2,68.26
24,3.4,67.5,69.9,66.9,88.7,5,6,5.1,48.24
24,7.3,78.6,73.6,86.9,68.6,4,5,7.1,72.47
18,9.7,99.7,53.9,69.6,81.9,3,7,7.7,86.56
25,4.7,54.2,57.1,90.5,49.0,0,7,6.0,67.37
25,8.0,77.2,88.9,80.0,74.2,5,6,7.3,75.38
25,8.2,84.0,43.8,99.8,87.2,2,2,4.8,77.05
22,6.2,74.8,85.6,86.4,66.1,0,4,4.6,83.01
18,2.9,54.0,78.3,96.6,83.2,3,9,7.9,60.35
18,3.2,91.3,77.9,79.0,55.9,1,9,8.3,72.83
22,4.4,60.0,49.6,72.1,59.9,5,9,8.5,48.2
24,9.1,88.1,49.3,97.6,73.1,3,4,5.0,78.42
21,4.2,83.4,66.9,50.5,63.0,2,3,4.0,59.06
19,9.3,59.6,77.8,69.6,99.0,1,9,4.7,90.63
22,6.8,59.5,63.6,50.9,99.3,0,5,5.6,78.12
22,4.8,88.9,59.0,70.0,53.4,1,7,8.5,72.07
19,5.3,98.8,70.5,61.1,60.4,2,2,6.5,70.24
21,7.0,89.4,84.8,85.4,81.2,5,4,4.1,69.84
18,2.5,60.5,90.9,99.3,85.4,5,7,8.7,55.5
23,1.3,55.3,85.6,81.5,45.3,5,5,8.9,41.74
24,3.2,69.3,80.0,86.2,49.3,5,9,7.7,52.41
19,6.1,52.0,45.1,61.9,92.7,1,1,6.4,64.44
18,2.6,50.9,46.1,40.3,52.9,1,3,7.8,46.72
18,5.5,57.3,66.5,48.7,81.0,1,0,7.6,66.66
24,1.5,87.6,40.6,76.4,71.9,4,1,6.8,39.8
22,6.6,80.5,84.7,73.9,76.7,5,4,7.0,67.73
18,9.3,51.1,76.0,62.3,50.6,4,2,4.9,67.61
24,2.9,94.4,44.3,53.1,61.3,5,4,4.6,39.6
23,5.9,97.8,68.5,70.2,97.2,5,2,6.3,64.33
22,9.4,53.2,93.4,64.5,48.0,2,9,5.8,85.14
22,2.9,59.5,87.8,79.2,74.9,4,1,5.7,51.06
19,8.9,60.3,68.9,95.5,61.8,0,2,7.9,89.52
18,8.1,79.8,85.7,78.6,64.5,4,5,4.8,75.39
21,8.7,92.7,89.9,97.8,77.6,5,7,7.4,84.26
23,3.4,62.2,75.8,93.7,92.1,4,4,4.0,53.57
19,8.8,77.4,72.1,40.1,98.4,0,1,8.3,91.36
20,8.2,52.5,69.1,90.5,42.5,3,8,8.7,74.58
21,5.4,59.2,49.4,61.9,66.9,3,1,6.2,53.37
23,9.9,53.5,41.2,50.7,75.9,4,6,7.2,67.46
23,2.8,83.8,42.2,81.3,60.3,0,4,4.8,59.47
19,1.5,83.4,67.5,54.6,46.1,3,0,7.3,44.93
18,2.1,71.7,63.4,86.0,93.0,4,7,7.7,51.69
23,1.9,57.6,61.8,66.2,65.0,0,7,8.5,59.69
22,2.2,50.1,48.8,85.8,88.5,4,5,5.7,40.65
20,9.6,69.9,43.6,49.4,81.8,1,2,4.0,77.4
18,8.7,54.6,70.8,99.0,57.6,2,6,7.8,81.88
18,3.8,64.6,78.2,43.1,81.8,3,5,5.2,55.86
18,4.2,95.8,61.4,55.8,62.9,0,0,7.9,71.08
25,8.2,75.5,46.3,99.7,62.2,1,4,7.0,80.66
23,3.2,66.7,89.1,69.0,79.0,4,3,8.5,57.22
